transaction_id,amount,fee_rate
750001,1090.07,0.0086
750002,1446.06,0.0452
750003,2173.31,0.0424
750004,6896.53,0.0334
750005,3610.1,0.0232
750006,5227.9,0.0473
750007,5342.08,0.0091
750008,5346.33,0.0331
750009,2506.53,0.0267
750010,918.88,0.0102
750011,3102.95,0.0144
750012,6684.4,0.0461
750013,1037.18,0.0072
750014,7596.23,0.0235
750015,7991.94,0.0366
750016,9176.37,0.0343
750017,1995.77,0.0034
750018,234.47,0.0095
750019,734.44,0.0061
750020,8825.59,0.0356
750021,2187.78,0.0116
750022,412.01,0.0368
750023,1825.11,0.0464
750024,3572.14,0.0058
750025,6491.27,0.0117
750026,5263.62,0.0358
750027,495.25,0.0213
750028,1515.15,0.0054
750029,8671.85,0.0161
750030,7973.08,0.0297
750031,3327.66,0.0351
750032,2166.15,0.0078
750033,778.8,0.038
750034,5253.79,0.0109
750035,6912.08,0.0344
750036,4200.5,0.0385
750037,1167.72,0.0068
750038,5406.81,0.0462
750039,7618.82,0.0102
750040,3818.0,0.0134
750041,3107.91,0.0485
750042,4540.11,0.0301
750043,3265.43,0.0392
750044,6651.8,0.0178
750045,8867.64,0.0262
750046,4890.79,0.036
750047,285.77,0.0343
750048,6526.59,0.0203
750049,5354.86,0.0104
750050,298.46,0.0402
750051,939.06,0.0083
750052,5248.66,0.0142
750053,6750.42,0.0431
750054,2180.75,0.0115
750055,1451.51,0.0311
750056,7701.07,0.0121
750057,9273.29,0.0229
750058,2265.29,0.0033
750059,9485.5,0.021
750060,9673.82,0.0083
750061,2484.9,0.0303
750062,5946.57,0.0201
750063,7247.95,0.0491
750064,9571.31,0.0435
750065,7481.65,0.0496
750066,8985.21,0.0101
750067,9795.77,0.0022
750068,6808.28,0.0159
750069,3245.15,0.0061
750070,356.81,0.048
750071,4348.89,0.0024
750072,3243.69,0.0191
750073,2863.78,0.0078
750074,467.05,0.0288
750075,3107.67,0.0352
750076,822.85,0.0376
750077,1898.42,0.0446
750078,3034.8,0.0149
750079,1284.06,0.0483
750080,700.5,0.0395
750081,4570.44,0.0139
750082,3718.58,0.0256
750083,6037.16,0.003
750084,6940.42,0.0147
750085,8966.05,0.0487
750086,770.74,0.0202
750087,7994.39,0.0086
750088,3836.34,0.0124
750089,6323.85,0.0019
750090,6442.21,0.0152
750091,1793.88,0.0472
750092,9239.01,0.0471
750093,4941.69,0.0339
750094,2636.71,0.0494
750095,7967.77,0.0261
750096,4663.23,0.0224
750097,813.79,0.032
750098,5815.05,0.0321
750099,5207.2,0.0218
750100,2857.52,0.0476
750101,6359.48,0.038
750102,355.14,0.0459
750103,248.32,0.0124
750104,3901.34,0.0123
750105,634.57,0.029
750106,128.98,0.0148
750107,7188.85,0.0395
750108,6818.33,0.0481
750109,9785.14,0.0145
750110,890.88,0.0275
750111,1802.9,0.0447
750112,481.87,0.0249
750113,3802.06,0.0119
750114,7113.36,0.017
750115,3505.07,0.0487
750116,2115.32,0.041
750117,9276.65,0.005
750118,8498.96,0.013
750119,743.27,0.047
750120,5497.81,0.0067
750121,3288.87,0.0053
750122,5691.33,0.0193
750123,6441.33,0.0349
750124,3390.81,0.0454
750125,1313.37,0.0431
750126,4797.58,0.0307
750127,8404.06,0.0471
750128,8314.2,0.05
750129,2205.73,0.0332
750130,5768.66,0.0137
750131,3724.61,0.0468
750132,2100.57,0.0238
750133,6799.52,0.0098
750134,9911.49,0.0479
750135,7051.2,0.0099
750136,705.03,0.0189
750137,8984.67,0.0329
750138,1687.15,0.0275
750139,8866.85,0.0478
750140,7271.95,0.0313
750141,2765.86,0.0401
750142,3027.22,0.0322
750143,2620.61,0.0035
750144,1974.49,0.0453
750145,9889.01,0.0154
750146,1078.2,0.0418
750147,1290.92,0.003
750148,2363.83,0.0074
750149,5734.4,0.0202
750150,7405.94,0.0229
750151,1399.84,0.0494
750152,8922.72,0.0485
750153,5174.1,0.0305
750154,3045.5,0.004
750155,9063.44,0.0474
750156,6650.6,0.0462
750157,5353.75,0.0112
750158,542.87,0.0379
750159,6941.24,0.0493
750160,9561.28,0.0019
750161,8204.94,0.0379
750162,5160.77,0.0123
750163,600.03,0.0302
750164,2356.14,0.0305
750165,4388.29,0.0086
750166,6987.1,0.046
750167,3165.53,0.0377
750168,5190.43,0.0074
750169,2997.11,0.042
750170,400.64,0.0412
750171,7500.23,0.0454
750172,9609.24,0.0315
750173,9716.1,0.0069
750174,8883.87,0.0465
750175,9277.65,0.0259
750176,9984.93,0.0404
750177,4876.05,0.02
750178,2794.64,0.0493
750179,2364.68,0.0387
750180,7095.87,0.0155
750181,7941.86,0.0071
750182,4855.23,0.0087
750183,2610.96,0.0097
750184,3770.63,0.0303
750185,8253.17,0.0074
750186,5766.39,0.0357
750187,416.0,0.0343
750188,2048.9,0.0325
750189,7904.64,0.0154
750190,9177.15,0.0056
750191,1216.41,0.0463
750192,7115.66,0.0487
750193,5282.57,0.0058
750194,8940.64,0.0139
750195,2213.19,0.0328
750196,1798.03,0.0287
750197,7001.54,0.0011
750198,7083.94,0.0367
750199,4529.37,0.0276
750200,6762.33,0.0405
750201,6046.15,0.031
750202,3976.11,0.0161
750203,9058.84,0.0332
750204,7502.25,0.0484
750205,5086.08,0.0394
750206,1303.22,0.0195
750207,3219.8,0.0323
750208,7496.85,0.0496
750209,3273.75,0.0378
750210,790.06,0.0011
750211,3567.8,0.0479
750212,9549.96,0.0481
750213,8570.27,0.0372
750214,4526.44,0.0066
750215,2606.6,0.041
750216,4843.12,0.0208
750217,6292.74,0.0492
750218,5121.12,0.0492
750219,748.46,0.0228
750220,2869.2,0.0084
750221,6269.81,0.032
750222,2718.49,0.0288
750223,6290.37,0.0328
750224,8299.49,0.0124
750225,2400.63,0.0221
750226,5092.18,0.0036
750227,7493.59,0.029
750228,9247.9,0.0225
750229,4407.05,0.0404
750230,5148.9,0.0445
750231,2870.47,0.0483
750232,6793.36,0.0084
750233,6635.05,0.0255
750234,3686.81,0.0334
750235,763.91,0.0483
750236,3545.55,0.0469
750237,5955.91,0.0261
750238,5882.85,0.046
750239,8154.9,0.0475
750240,739.85,0.045
750241,8137.77,0.0338
750242,6525.66,0.0369
750243,2524.15,0.0481
750244,8568.62,0.0041
750245,1045.56,0.0026
750246,9808.17,0.0224
750247,305.59,0.0371
750248,4319.3,0.0208
750249,4198.12,0.037
750250,1961.69,0.0344
750251,3393.44,0.0145
750252,7789.04,0.018
750253,4077.02,0.0206
750254,1806.65,0.0207
750255,2810.97,0.0221
750256,4643.44,0.0213
750257,2032.51,0.0205
750258,8345.03,0.0449
750259,7571.37,0.0021
750260,9949.21,0.0197
750261,8035.02,0.044
750262,7437.54,0.01
750263,6598.35,0.0057
750264,2061.1,0.042
750265,8585.27,0.0497
750266,1802.56,0.0331
750267,5908.25,0.0341
750268,656.81,0.0045
750269,6936.08,0.0449
750270,4935.86,0.0456
750271,7496.84,0.0259
750272,8064.38,0.0192
750273,8058.02,0.0049
750274,6727.48,0.0477
750275,8762.45,0.0206
750276,3913.39,0.0485
750277,1017.1,0.0249
750278,7304.09,0.027
750279,6203.96,0.0447
750280,9663.79,0.0203
750281,4102.25,0.0103
750282,6589.99,0.0141
750283,1995.89,0.0097
750284,2143.25,0.0463
750285,8740.49,0.0123
750286,4361.48,0.0324
750287,7444.67,0.0118
750288,8603.16,0.0207
750289,3754.58,0.0041
750290,2418.18,0.0154
750291,839.46,0.0071
750292,6306.1,0.0127
750293,9360.93,0.0229
750294,1161.19,0.0262
750295,9512.77,0.0298
750296,3542.58,0.0285
750297,5769.76,0.0455
750298,4665.56,0.0245
750299,9765.07,0.0447
750300,1815.38,0.0023
750301,3115.35,0.035
750302,1024.64,0.0457
750303,9429.43,0.0364
750304,2598.19,0.0325
750305,8265.31,0.0201
750306,7539.61,0.0351
750307,948.6,0.0052
750308,9432.93,0.0487
750309,6475.74,0.0343
750310,1574.43,0.0153
750311,9529.88,0.0452
750312,9042.23,0.0371
750313,7500.39,0.0129
750314,4517.5,0.0165
750315,3964.91,0.0231
750316,2367.99,0.0307
750317,4131.33,0.0438
750318,2994.74,0.0318
750319,9100.71,0.0419
750320,1380.74,0.0205
750321,8190.74,0.0383
750322,9706.42,0.0204
750323,2733.88,0.0022
750324,1744.26,0.0258
750325,7084.25,0.0387
750326,7142.17,0.0225
750327,6484.54,0.0461
750328,5380.47,0.0216
750329,2651.96,0.015
750330,8816.83,0.012
750331,8273.23,0.0229
750332,411.36,0.002
750333,1618.42,0.035
750334,3972.53,0.0321
750335,1399.58,0.0119
750336,9450.25,0.0059
750337,5602.6,0.047
750338,2034.48,0.0216
750339,3094.76,0.0481
750340,3647.93,0.0436
750341,4286.52,0.0193
750342,2304.21,0.0265
750343,6253.2,0.0385
750344,4509.99,0.042
750345,4280.64,0.0388
750346,5834.97,0.0482
750347,2848.88,0.0264
750348,1387.43,0.0138
750349,7936.13,0.0196
750350,4919.9,0.0434
750351,7690.24,0.0119
750352,7238.32,0.047
750353,4167.64,0.0295
750354,8770.81,0.0359
750355,2702.88,0.0306
750356,3634.6,0.0074
750357,4024.24,0.0366
750358,9093.46,0.0248
750359,5853.43,0.0084
750360,8047.97,0.0222
750361,1540.91,0.047
750362,7084.43,0.0103
750363,171.18,0.0253
750364,3271.75,0.044
750365,3085.46,0.0239
750366,9893.76,0.0315
750367,3032.49,0.0373
750368,1390.39,0.0317
750369,6764.19,0.0405
750370,9419.65,0.012
750371,7283.69,0.026
750372,6249.49,0.0187
750373,628.23,0.0399
750374,8848.15,0.0376
750375,4001.16,0.0274
750376,9290.11,0.0369
750377,3872.73,0.0036
750378,3609.32,0.0372
750379,7591.55,0.0366
750380,692.42,0.0188
750381,5770.67,0.0077
750382,4129.8,0.0264
750383,248.82,0.0299
750384,6144.05,0.0185
750385,4392.54,0.0389
750386,7912.65,0.0321
750387,1823.92,0.0327
750388,2294.49,0.0256
750389,7318.6,0.0387
750390,8120.53,0.0444
750391,2709.59,0.0208
750392,5918.8,0.002
750393,155.75,0.0102
750394,8205.34,0.0352
750395,2162.97,0.003
750396,4941.07,0.0048
750397,9814.77,0.0373
750398,8410.36,0.0168
750399,9811.0,0.0119
750400,8677.06,0.0307
750401,5445.4,0.0226
750402,9405.78,0.0462
750403,1804.51,0.029
750404,1171.03,0.0114
750405,3649.49,0.019
750406,9197.37,0.0452
750407,3616.17,0.0158
750408,8489.18,0.0257
750409,3540.1,0.0349
750410,5829.16,0.001
750411,3699.39,0.0476
750412,4467.38,0.0099
750413,7886.01,0.0409
750414,3625.04,0.0137
750415,5935.69,0.0027
750416,6201.25,0.0207
750417,5298.06,0.0189
750418,3688.08,0.0235
750419,5166.6,0.0438
750420,6039.6,0.0295
750421,9310.38,0.0286
750422,4165.13,0.0054
750423,8805.14,0.0185
750424,1477.93,0.0022
750425,3575.33,0.0452
750426,5548.84,0.0225
750427,6413.7,0.034
750428,7914.53,0.0011
750429,6584.21,0.0053
750430,796.51,0.0123
750431,889.17,0.0045
750432,7390.22,0.0424
750433,315.3,0.0112
750434,9291.98,0.0451
750435,7526.86,0.0026
750436,9362.6,0.0105
750437,5645.82,0.0458
750438,4478.69,0.0318
750439,8011.49,0.0326
750440,6859.51,0.0227
750441,2420.07,0.0457
750442,5095.38,0.0185
750443,3624.19,0.0339
750444,8564.3,0.0258
750445,7734.46,0.0057
750446,4960.15,0.0229
750447,2052.95,0.0317
750448,9094.49,0.0141
750449,9348.39,0.0039
750450,3023.31,0.004
750451,8100.19,0.0471
750452,1158.39,0.0414
750453,2490.58,0.0074
750454,1036.55,0.0111
750455,8867.92,0.0013
750456,3547.55,0.0187
750457,9869.71,0.0354
750458,1043.63,0.0068
750459,3147.68,0.0162
750460,3091.1,0.0138
750461,4221.79,0.0205
750462,1211.96,0.0439
750463,3620.23,0.0473
750464,4056.94,0.022
750465,1054.92,0.0268
750466,9512.82,0.0456
750467,7051.4,0.0336
750468,5274.87,0.0156
750469,610.09,0.0142
750470,1945.96,0.0189
750471,4578.08,0.0294
750472,1635.57,0.0361
750473,1923.06,0.0133
750474,7456.89,0.0474
750475,2188.62,0.0176
750476,2484.06,0.03
750477,2185.52,0.0146
750478,2325.43,0.0377
750479,5315.51,0.0413
750480,5260.54,0.0201
750481,6553.76,0.0261
750482,6406.96,0.0224
750483,5717.04,0.026
750484,7173.08,0.0188
750485,3458.12,0.0139
750486,7964.3,0.0212
750487,8389.53,0.0461
750488,161.39,0.0046
750489,4593.83,0.0281
750490,2079.32,0.0128
750491,4542.12,0.0177
750492,2465.39,0.0263
750493,5135.98,0.0157
750494,1535.91,0.0272
750495,8747.14,0.0427
750496,1475.0,0.0181
750497,8166.7,0.0045
750498,8184.84,0.0198
750499,1342.33,0.007
750500,9301.77,0.0371
750501,6162.38,0.0281
750502,1989.58,0.01
750503,7818.48,0.0437
750504,6081.87,0.0455
750505,7485.32,0.0076
750506,6623.88,0.004
750507,4309.47,0.0091
750508,5209.48,0.049
750509,8020.18,0.0147
750510,2588.29,0.0037
750511,3615.36,0.0177
750512,869.8,0.02
750513,8873.97,0.0416
750514,3891.86,0.0414
750515,3475.2,0.0223
750516,8517.07,0.0461
750517,4562.4,0.0358
750518,8683.25,0.0103
750519,1527.02,0.0266
750520,4455.42,0.0042
750521,7060.84,0.0049
750522,8325.73,0.0158
750523,3194.91,0.0149
750524,7565.71,0.02
750525,8037.46,0.0214
750526,1275.28,0.0409
750527,1113.88,0.0227
750528,7620.33,0.0163
750529,3385.49,0.0427
750530,3353.23,0.0198
750531,879.93,0.0461
750532,3417.53,0.0114
750533,9409.34,0.0278
750534,5759.67,0.0088
750535,1704.5,0.0038
750536,5881.29,0.0321
750537,9614.73,0.008
750538,6251.75,0.0437
750539,6919.76,0.0035
750540,3742.87,0.0102
750541,5411.07,0.0417
750542,7683.65,0.0014
750543,6774.98,0.0109
750544,6846.6,0.0441
750545,6719.51,0.0211
750546,7209.67,0.0085
750547,8549.14,0.0274
750548,2067.33,0.0464
750549,1874.4,0.0309
750550,6493.01,0.0409
750551,9717.5,0.0139
750552,5254.69,0.012
750553,7769.45,0.0457
750554,2452.75,0.0137
750555,658.75,0.0176
750556,6370.3,0.0065
750557,6605.23,0.019
750558,5812.43,0.0438
750559,6782.9,0.0499
750560,125.92,0.0155
750561,7107.79,0.0065
750562,1970.78,0.0228
750563,2137.62,0.0296
750564,7707.33,0.049
750565,8069.89,0.0451
750566,6070.03,0.0098
750567,64.21,0.0191
750568,6109.56,0.01
750569,7663.44,0.0392
750570,8096.95,0.0296
750571,5873.25,0.0385
750572,8126.02,0.0053
750573,8574.92,0.0029
750574,7506.5,0.0262
750575,2944.77,0.0203
750576,6135.65,0.0268
750577,3620.02,0.0187
750578,7490.26,0.0254
750579,4159.96,0.0428
750580,1502.12,0.0295
750581,6692.32,0.04
750582,8334.05,0.017
750583,1729.48,0.0484
750584,9938.14,0.0156
750585,8051.19,0.0214
750586,1748.42,0.0219
750587,5355.24,0.0119
750588,1904.2,0.0036
750589,5848.67,0.0051
750590,7988.06,0.0176
750591,2587.48,0.0041
750592,7029.98,0.032
750593,7932.47,0.04
750594,3317.12,0.0112
750595,3223.9,0.0246
750596,1489.83,0.0421
750597,5517.74,0.0393
750598,5956.01,0.0225
750599,8292.67,0.0409
750600,662.25,0.0135
750601,398.91,0.0462
750602,8315.09,0.0353
750603,4151.9,0.029
750604,8995.48,0.01
750605,7063.97,0.0232
750606,5077.68,0.0206
750607,7454.27,0.0459
750608,4599.13,0.0394
750609,3909.25,0.0071
750610,1592.12,0.0243
750611,7607.72,0.0303
750612,3997.06,0.0243
750613,3895.89,0.0234
750614,9310.29,0.0383
750615,4538.97,0.0472
