transaction_id,amount,fee_rate
250001,9048.42,0.0191
250002,1020.87,0.0267
250003,2383.71,0.0437
250004,4828.97,0.0338
250005,9504.16,0.0186
250006,657.18,0.0365
250007,1985.88,0.0034
250008,3144.44,0.0148
250009,7572.1,0.037
250010,9252.93,0.0053
250011,4897.3,0.041
250012,4393.96,0.0265
250013,1013.65,0.0194
250014,4438.5,0.0139
250015,9715.02,0.0174
250016,8339.66,0.031
250017,5084.2,0.0092
250018,2002.56,0.0165
250019,6495.53,0.0163
250020,2443.87,0.0291
250021,121.42,0.0376
250022,2826.2,0.0422
250023,6535.05,0.0179
250024,1985.82,0.0104
250025,9795.94,0.0215
250026,4847.66,0.0138
250027,6144.16,0.0385
250028,3490.95,0.0241
250029,2499.55,0.0402
250030,9154.54,0.0409
250031,3254.27,0.0461
250032,1198.13,0.0082
250033,5058.91,0.0373
250034,4008.04,0.0095
250035,3134.14,0.0019
250036,1295.4,0.0426
250037,9044.94,0.0434
250038,8965.24,0.0497
250039,1483.75,0.0171
250040,5538.39,0.0101
250041,4833.58,0.0057
250042,5694.22,0.0064
250043,6708.0,0.0409
250044,31.45,0.0197
250045,4841.69,0.0217
250046,6413.19,0.0389
250047,2543.21,0.0271
250048,2228.06,0.0151
250049,8697.13,0.0086
250050,8723.39,0.0086
250051,8377.19,0.0497
250052,6198.67,0.0226
250053,2621.11,0.0018
250054,7621.51,0.038
250055,1808.98,0.0413
250056,3619.79,0.0229
250057,8841.55,0.0377
250058,8907.1,0.0456
250059,8575.59,0.0132
250060,6604.23,0.0344
250061,4050.65,0.0083
250062,6610.05,0.0258
250063,8655.76,0.0284
250064,8350.43,0.0145
250065,8168.69,0.0485
250066,2904.68,0.0056
250067,6745.27,0.0323
250068,778.68,0.0312
250069,7201.61,0.029
250070,5080.52,0.0439
250071,1459.19,0.0253
250072,6503.25,0.0234
250073,7007.62,0.0178
250074,7782.89,0.0153
250075,1373.82,0.0193
250076,6790.84,0.0219
250077,5658.48,0.0444
250078,6684.12,0.0487
250079,7655.91,0.0421
250080,2368.63,0.0241
250081,263.09,0.0186
250082,4018.97,0.0292
250083,3536.86,0.016
250084,1387.31,0.0202
250085,898.3,0.0448
250086,5478.62,0.0259
250087,2920.92,0.0421
250088,7494.33,0.0251
250089,8976.74,0.0304
250090,6075.53,0.023
250091,9694.0,0.0244
250092,2925.27,0.0018
250093,1705.14,0.0192
250094,5664.79,0.0285
250095,4605.52,0.0436
250096,9901.78,0.0236
250097,2418.57,0.0213
250098,1333.79,0.0087
250099,4767.58,0.0249
250100,1841.1,0.0208
250101,2758.41,0.0189
250102,8290.72,0.0235
250103,2052.98,0.0085
250104,564.96,0.0432
250105,9993.04,0.0438
250106,237.32,0.0128
250107,2347.49,0.0314
250108,4215.88,0.0209
250109,9326.35,0.0431
250110,413.64,0.0083
250111,4782.31,0.0274
250112,112.26,0.0125
250113,2211.47,0.04
250114,9539.46,0.0241
250115,9357.89,0.003
250116,6792.02,0.0481
250117,8539.53,0.0014
250118,2869.53,0.0078
250119,1650.19,0.0433
250120,7903.45,0.043
250121,2886.61,0.028
250122,2592.81,0.0404
250123,6926.56,0.0155
250124,7281.05,0.0424
250125,821.6,0.0149
250126,9274.27,0.05
250127,1489.55,0.0167
250128,8929.19,0.0392
250129,2870.8,0.0484
250130,3914.5,0.0253
250131,8044.56,0.0037
250132,7579.08,0.0415
250133,7723.48,0.0221
250134,6936.78,0.0168
250135,8527.81,0.0014
250136,8307.65,0.025
250137,3230.82,0.0092
250138,7068.42,0.0384
250139,8267.75,0.0286
